					郑州商品交易所期货交易参数(2026-05-27)
合约代码|上市日期|交易单位|最小变动价位|上日结算价|涨跌停板幅度(%)|日持仓限额|交易限额|最小开仓量下单量|限价单最大下单量|市价单最大下单量
PK704       |2026-04-16 |5              |2.00       |8,204.00        |6               |5,000      |           |1          |1,000      |200        
PK705       |2026-05-20 |5              |2.00       |8,232.00        |6               |5,000      |           |1          |1,000      |200        
PL606       |2025-07-22 |20             |1.00       |8,768.00        |11              |500        |           |4          |1,000      |200        
PL607       |2025-07-22 |20             |1.00       |8,336.00        |9               |2,000      |           |1          |1,000      |200        
PL608       |2025-08-15 |20             |1.00       |8,247.00        |9               |2,000      |           |1          |1,000      |200        
PL609       |2025-09-15 |20             |1.00       |8,094.00        |9               |2,000      |           |1          |1,000      |200        
PL610       |2025-10-23 |20             |1.00       |7,899.00        |6               |2,000      |           |1          |1,000      |200        
PL611       |2025-11-17 |20             |1.00       |7,789.00        |6               |2,000      |           |1          |1,000      |200        
PL612       |2025-12-15 |20             |1.00       |7,578.00        |6               |2,000      |           |1          |1,000      |200        
PL701       |2026-01-19 |20             |1.00       |7,458.00        |6               |2,000      |           |1          |1,000      |200        
PL702       |2026-02-24 |20             |1.00       |7,344.00        |6               |2,000      |           |1          |1,000      |200        
PL703       |2026-03-16 |20             |1.00       |7,346.00        |6               |2,000      |           |1          |1,000      |200        
PL704       |2026-04-16 |20             |1.00       |7,292.00        |6               |2,000      |           |1          |1,000      |200        
PL705       |2026-05-20 |20             |1.00       |7,292.00        |12              |2,000      |           |1          |1,000      |200        
PM607       |2025-07-15 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PM609       |2025-09-15 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PM611       |2025-11-17 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PM701       |2026-01-19 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PM703       |2026-03-16 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PM705       |2026-05-20 |50             |1.00       |3,122.00        |14              |2,000      |           |10         |1,000      |200        
PR606       |2025-06-17 |15             |2.00       |8,214.00        |11              |500        |           |4          |1,000      |200        
PR607       |2025-07-15 |15             |2.00       |7,770.00        |11              |3,958      |           |1          |1,000      |200        
PR608       |2025-08-15 |15             |2.00       |7,580.00        |11              |3,000      |           |1          |1,000      |200        
PR609       |2025-09-15 |15             |2.00       |7,430.00        |11              |3,000      |           |1          |1,000      |200        
PR610       |2025-10-23 |15             |2.00       |7,364.00        |6               |3,000      |           |1          |1,000      |200        
PR611       |2025-11-17 |15             |2.00       |7,252.00        |6               |3,000      |           |1          |1,000      |200        
PR612       |2025-12-15 |15             |2.00       |7,100.00        |6               |3,000      |           |1          |1,000      |200        
PR701       |2026-01-19 |15             |2.00       |6,962.00        |6               |3,000      |           |1          |1,000      |200        
PR702       |2026-02-24 |15             |2.00       |6,984.00        |6               |3,000      |           |1          |1,000      |200        
PR703       |2026-03-16 |15             |2.00       |6,922.00        |6               |3,000      |           |1          |1,000      |200        
PR704       |2026-04-16 |15             |2.00       |6,922.00        |6               |3,000      |           |1          |1,000      |200        
PR705       |2026-05-20 |15             |2.00       |6,890.00        |12              |3,000      |           |1          |1,000      |200        
PX606       |2025-06-17 |5              |2.00       |8,498.00        |11              |3,000      |           |8          |1,000      |200        
PX607       |2025-07-15 |5              |2.00       |8,502.00        |11              |6,000      |           |2          |1,000      |200        
PX608       |2025-08-15 |5              |2.00       |8,494.00        |11              |6,000      |           |2          |1,000      |200        
PX609       |2025-09-15 |5              |2.00       |8,462.00        |11              |6,000      |           |2          |1,000      |200        
PX610       |2025-10-23 |5              |2.00       |8,410.00        |6               |6,000      |           |1          |1,000      |200        
PX611       |2025-11-17 |5              |2.00       |8,324.00        |6               |6,000      |           |1          |1,000      |200        
PX612       |2025-12-15 |5              |2.00       |8,258.00        |6               |6,000      |           |1          |1,000      |200        
PX701       |2026-01-19 |5              |2.00       |8,164.00        |6               |6,000      |           |1          |1,000      |200        
PX702       |2026-02-24 |5              |2.00       |8,146.00        |6               |6,000      |           |1          |1,000      |200        
PX703       |2026-03-16 |5              |2.00       |8,050.00        |6               |6,000      |           |1          |1,000      |200        
PX704       |2026-04-16 |5              |2.00       |8,094.00        |6               |6,000      |           |1          |1,000      |200        
PX705       |2026-05-20 |5              |2.00       |8,118.00        |6               |6,000      |           |1          |1,000      |200        
RI607       |2025-07-15 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RI609       |2025-09-15 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RI611       |2025-11-17 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RI701       |2026-01-19 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RI703       |2026-03-16 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RI705       |2026-05-20 |20             |1.00       |2,479.00        |14              |7,500      |           |10         |1,000      |200        
RM607       |2025-07-15 |10             |1.00       |2,186.00        |6               |25,429     |15,000     |1          |1,000      |200        
RM608       |2025-08-15 |10             |1.00       |2,304.00        |6               |20,000     |15,000     |1          |1,000      |200        
RM609       |2025-09-15 |10             |1.00       |2,306.00        |6               |96,102     |15,000     |1          |1,000      |200        
RM611       |2025-11-17 |10             |1.00       |2,229.00        |6               |20,000     |15,000     |1          |1,000      |200        
RM701       |2026-01-19 |10             |1.00       |2,263.00        |6               |20,000     |15,000     |1          |1,000      |200        
RM703       |2026-03-16 |10             |1.00       |2,260.00        |6               |20,000     |15,000     |1          |1,000      |200        
RM705       |2026-05-20 |10             |1.00       |2,294.00        |6               |20,000     |15,000     |1          |1,000      |200        
RS607       |2025-07-15 |10             |1.00       |5,795.00        |10              |10,000     |           |1          |1,000      |200        
RS608       |2025-08-15 |10             |1.00       |5,700.00        |10              |10,000     |           |1          |1,000      |200        
RS609       |2025-09-15 |10             |1.00       |5,719.00        |10              |10,000     |           |1          |1,000      |200        
RS611       |2025-11-17 |10             |1.00       |5,942.00        |10              |10,000     |           |1          |1,000      |200        
SA606       |2025-06-17 |20             |1.00       |1,155.00        |8               |2,000      |10,000     |1          |1,000      |200        
SA607       |2025-07-15 |20             |1.00       |1,164.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA608       |2025-08-15 |20             |1.00       |1,195.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA609       |2025-09-15 |20             |1.00       |1,200.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA610       |2025-10-23 |20             |1.00       |1,220.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA611       |2025-11-17 |20             |1.00       |1,218.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA612       |2025-12-15 |20             |1.00       |1,249.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA701       |2026-01-19 |20             |1.00       |1,253.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA702       |2026-02-24 |20             |1.00       |1,275.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA703       |2026-03-16 |20             |1.00       |1,279.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA704       |2026-04-16 |20             |1.00       |1,298.00        |8               |20,000     |10,000     |1          |1,000      |200        
SA705       |2026-05-20 |20             |1.00       |1,299.00        |8               |20,000     |10,000     |1          |1,000      |200        
SF606       |2025-06-17 |5              |2.00       |5,846.00        |7               |2,000      |           |1          |1,000      |200        
SF607       |2025-07-15 |5              |2.00       |5,878.00        |7               |10,000     |           |1          |1,000      |200        
SF608       |2025-08-15 |5              |2.00       |5,852.00        |7               |10,000     |           |1          |1,000      |200        
SF609       |2025-09-15 |5              |2.00       |5,846.00        |7               |10,000     |           |1          |1,000      |200        
SF610       |2025-10-23 |5              |2.00       |5,810.00        |7               |10,000     |           |1          |1,000      |200        
SF611       |2025-11-17 |5              |2.00       |5,950.00        |7               |10,000     |           |1          |1,000      |200        
SF612       |2025-12-15 |5              |2.00       |5,910.00        |7               |10,000     |           |1          |1,000      |200        
SF701       |2026-01-19 |5              |2.00       |5,910.00        |7               |10,000     |           |1          |1,000      |200        
SF702       |2026-02-24 |5              |2.00       |5,874.00        |7               |10,000     |           |1          |1,000      |200        
SF703       |2026-03-16 |5              |2.00       |5,994.00        |7               |10,000     |           |1          |1,000      |200        
SF704       |2026-04-16 |5              |2.00       |5,948.00        |7               |10,000     |           |1          |1,000      |200        
SF705       |2026-05-20 |5              |2.00       |5,942.00        |7               |10,000     |           |1          |1,000      |200        
SH606       |2025-06-17 |30             |1.00       |1,948.00        |10              |600        |           |4          |1,000      |200        
SH607       |2025-07-15 |30             |1.00       |1,973.00        |10              |4,000      |           |1          |1,000      |200        
SH608       |2025-08-15 |30             |1.00       |2,120.00        |7               |4,000      |           |1          |1,000      |200        
SH609       |2025-09-15 |30             |1.00       |2,192.00        |7               |4,000      |           |1          |1,000      |200        
SH610       |2025-10-23 |30             |1.00       |2,283.00        |7               |4,000      |           |1          |1,000      |200        
SH611       |2025-11-17 |30             |1.00       |2,303.00        |7               |4,000      |           |1          |1,000      |200        
SH612       |2025-12-15 |30             |1.00       |2,340.00        |7               |4,000      |           |1          |1,000      |200        
SH701       |2026-01-19 |30             |1.00       |2,344.00        |7               |4,000      |           |1          |1,000      |200        
SH702       |2026-02-24 |30             |1.00       |2,386.00        |7               |4,000      |           |1          |1,000      |200        
SH703       |2026-03-16 |30             |1.00       |2,401.00        |7               |4,000      |           |1          |1,000      |200        
SH704       |2026-04-16 |30             |1.00       |2,435.00        |7               |4,000      |           |1          |1,000      |200        
SH705       |2026-05-20 |30             |1.00       |2,444.00        |7               |4,000      |           |1          |1,000      |200        
SM606       |2025-06-17 |5              |2.00       |5,910.00        |7               |5,000      |10,000     |1          |1,000      |200        
SM607       |2025-07-15 |5              |2.00       |5,948.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM608       |2025-08-15 |5              |2.00       |5,968.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM609       |2025-09-15 |5              |2.00       |5,996.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM610       |2025-10-23 |5              |2.00       |5,992.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM611       |2025-11-17 |5              |2.00       |6,050.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM612       |2025-12-15 |5              |2.00       |6,048.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM701       |2026-01-19 |5              |2.00       |6,084.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM702       |2026-02-24 |5              |2.00       |6,102.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM703       |2026-03-16 |5              |2.00       |6,126.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM704       |2026-04-16 |5              |2.00       |6,096.00        |7               |30,000     |10,000     |1          |1,000      |200        
SM705       |2026-05-20 |5              |2.00       |6,120.00        |7               |30,000     |10,000     |1          |1,000      |200        
SR607       |2025-07-15 |10             |1.00       |5,339.00        |5               |30,000     |10,000     |1          |1,000      |200        
SR609       |2025-09-15 |10             |1.00       |5,368.00        |5               |68,251     |10,000     |1          |1,000      |200        
SR611       |2025-11-17 |10             |1.00       |5,409.00        |5               |30,000     |10,000     |1          |1,000      |200        
SR701       |2026-01-19 |10             |1.00       |5,548.00        |5               |30,000     |10,000     |1          |1,000      |200        
SR703       |2026-03-16 |10             |1.00       |5,546.00        |5               |30,000     |10,000     |1          |1,000      |200        
SR705       |2026-05-20 |10             |1.00       |5,585.00        |5               |30,000     |10,000     |1          |1,000      |200        
TA606       |2025-06-17 |5              |2.00       |6,054.00        |11              |10,000     |30,000     |8          |1,000      |200        
TA607       |2025-07-15 |5              |2.00       |6,076.00        |11              |50,000     |30,000     |1          |1,000      |200        
TA608       |2025-08-15 |5              |2.00       |6,046.00        |11              |50,000     |30,000     |1          |1,000      |200        
TA609       |2025-09-15 |5              |2.00       |5,992.00        |11              |107,174    |30,000     |1          |1,000      |200        
TA610       |2025-10-23 |5              |2.00       |5,938.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA611       |2025-11-17 |5              |2.00       |5,874.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA612       |2025-12-15 |5              |2.00       |5,816.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA701       |2026-01-19 |5              |2.00       |5,764.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA702       |2026-02-24 |5              |2.00       |5,730.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA703       |2026-03-16 |5              |2.00       |5,716.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA704       |2026-04-16 |5              |2.00       |5,732.00        |6               |50,000     |30,000     |1          |1,000      |200        
TA705       |2026-05-20 |5              |2.00       |5,706.00        |6               |50,000     |30,000     |1          |1,000      |200        
UR606       |2025-06-17 |20             |1.00       |1,771.00        |7               |1,000      |           |1          |1,000      |200        
UR607       |2025-07-15 |20             |1.00       |1,856.00        |7               |5,000      |           |1          |1,000      |200        
UR608       |2025-08-15 |20             |1.00       |1,857.00        |7               |5,000      |           |1          |1,000      |200        
UR609       |2025-09-15 |20             |1.00       |1,863.00        |7               |5,000      |           |1          |1,000      |200        
UR610       |2025-10-23 |20             |1.00       |1,857.00        |7               |5,000      |           |1          |1,000      |200        
UR611       |2025-11-17 |20             |1.00       |1,874.00        |7               |5,000      |           |1          |1,000      |200        
UR612       |2025-12-15 |20             |1.00       |1,871.00        |7               |5,000      |           |1          |1,000      |200        
UR701       |2026-01-19 |20             |1.00       |1,866.00        |7               |5,000      |           |1          |1,000      |200        
UR702       |2026-02-24 |20             |1.00       |1,864.00        |7               |5,000      |           |1          |1,000      |200        
UR703       |2026-03-16 |20             |1.00       |1,908.00        |7               |5,000      |           |1          |1,000      |200        
UR704       |2026-04-16 |20             |1.00       |1,896.00        |7               |5,000      |           |1          |1,000      |200        
UR705       |2026-05-20 |20             |1.00       |1,894.00        |7               |5,000      |           |1          |1,000      |200        
WH607       |2025-07-15 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
WH609       |2025-09-15 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
WH611       |2025-11-17 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
WH701       |2026-01-19 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
WH703       |2026-03-16 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
WH705       |2026-05-20 |20             |1.00       |3,198.00        |14              |1,000      |           |10         |1,000      |200        
ZC606       |2025-06-10 |100            |0.20       |961.80          |20              |400        |20         |4          |50         |10         
ZC607       |2025-07-08 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC608       |2025-08-08 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC609       |2025-09-08 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC610       |2025-10-16 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC611       |2025-11-10 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC612       |2025-12-08 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC701       |2026-01-12 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC702       |2026-02-09 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC703       |2026-03-09 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC704       |2026-04-09 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
ZC705       |2026-05-13 |100            |0.20       |801.40          |20              |2,000      |20         |4          |50         |10         
